Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
12/22/22 10:50,Ahmedabad,,,Unknown,15 seconds,"It was moving very fast, and travelling speed and direction was uneven",12/22/22,
12/22/22 09:29,Newark,DE,USA,Light,30 secomds,I saw a light that was not flashing moving then disappeared,12/22/22,
12/22/22 00:00,Johannesburg,Gauteng,South Africa,Triangle,15 min,Strange flying objects moving in different directions,12/22/22,Yes
12/21/22 21:33,Columbus,OH,USA,Light,1-2 minutes,4-5 orange balls of light in a straight line,12/22/22,
12/21/22 17:40,Didcot,Oxfordshire,United Kingdom,Circle,2 minutes,"Low cloud, 5 lights circling in the distance, then 5 lights directly over my car",12/22/22,
12/21/22 07:55,Essex,ON,Canada,Changing,20 minutes,Driving seeing what looks like comets only motionless. Took video. One was straight up and down. Disappear reappears.,12/22/22,
12/21/22 04:11,Franklin,ME,USA,Light,2 hours,Hovering bright light with satellite lights expelling from it,12/22/22,
12/20/22 23:30,East Greenwich,RI,USA,Light,3 seconds maybe even less,I was driving the interstate at night with my buddy headed to casino when a very bright flashing light appeared in the horizon,12/22/22,
12/20/22 21:58,Mentor Headlands,OH,USA,Cylinder,A few minutes,"Looked cylindrical from the lights, changing colors from white to red to orange then yellow back to white, .",12/22/22,
12/20/22 02:30,Washington DC,WA,USA,Triangle,1-2 minutes,"Object hovering 1-2 minutes, then disappeared with such a speed that clouds were moving,",12/22/22,
12/20/22 02:00,Tucson,AZ,USA,Sphere,5 minutes,Saw a giant glowing sphere with lights going around and around in a circle,12/22/22,
12/20/22 01:04,New Gretna,NJ,USA,Sphere,20 minutes,"Silver sphere with super bright lights on bottom, zigzagging and ""teleporting"" at impossible speed and angles for 20 minutes",12/22/22,
12/19/22 00:05,Orlando,FL,USA,Cylinder,1hour,"Five gold orbs, turning white, Cylinder",12/22/22,Yes
12/18/22 21:05,Conover,NC,USA,Cross,4 minutes,An unidentified drone-shaped craft with 4 flashing white LEDs was seen hovering over my house.,12/22/22,
12/18/22 20:20,Stevensville,MT,USA,Triangle,1 minute,Blue triangle of lights,12/22/22,
12/18/22 19:58,,WA,USA,Changing,,Aircraft saw UFO out to the west,12/22/22,
12/18/22 19:48,Miami,FL,USA,Other,About 2 minutes,1 ship v shaped square like 2 rectangles slanted towards each other v shaped white/peach color 2 red lightsbehind it right one blinking,12/22/22,
12/18/22 18:00,Springfield,OR,USA,Triangle,120 seconds,One side of craft had 2 rows of lights on,12/22/22,Yes
12/18/22 16:15,Effingham,IL,USA,Star,1 minute,UFO caught near military jets.,12/22/22,
12/18/22 13:19,Crossville,TN,USA,Sphere,4 minutes,"I saw a white, spherical object moving at a steady pace while a plane was not too far behind it, going the same direction.",12/22/22,Yes
12/18/22 06:00,Bowie,MD,USA,Circle,20 to 30 seconds,Hovering ball of light.,12/22/22,
12/18/22 01:00,Bradford,TN,USA,Unknown,still on going,"Was watching meteors and looking at sky when my brother noticed something behind what looked like a small cloud, it had a red glare",12/22/22,
12/18/22 00:40,Eureka Springs,AR,USA,Other,Approx. 15-20 seconds,A V shape array of 4 lights each side going east to west,12/22/22,
12/18/22 00:40,Eureka Springs,AR,USA,Triangle,About 8 seconds,While looking at the stars a triangle of light flew over head at an incredible speed.,12/22/22,
12/17/22 21:40,Delray Beach,FL,USA,Triangle,8-10 min,Triopd of lights over ocean; non moving,12/22/22,Yes
12/17/22 21:00,Springfield,IL,USA,Triangle,2 to 3 minutes,Triangular object with multiple lights on the underside,12/22/22,
12/17/22 20:00,,WA,USA,Changing,ongoing,Multiple aircraft westbound reported seeing a UFO,12/22/22,
12/17/22 19:45,Tupelo,MS,USA,Light,15 minutes,3 chasing and dancing non blinking white lights,12/22/22,
12/17/22 18:48,Halfmoon bay,CA,USA,Rectangle,About 15 seconds,Took a picture of long rectangle light moving very fast! And disappeared,12/22/22,Yes
12/17/22 18:45,Oklahoma City,OK,USA,Cigar,About a minute,"While getting ready to take off from PWA, I looked to the NW (wearing NVGs) and saw an elongated oval shaped object",12/22/22,
12/17/22 18:40,Galva,IA,USA,Disk,30 seconds,Light Blue line in sight 30 seconds moving northerly,12/22/22,
12/17/22 18:10,Riverside,CA,USA,Triangle,10 seconds,"heading south, about 500 ft above the ground.",12/22/22,
12/17/22 18:05,Sterlng,CO,USA,Cigar,15-25 seconds,"LONG illuminated ""cigar"" shaped craft that appeared from nowhere moving as one craft until fading out quickly",12/22/22,
12/17/22 16:42,Westcliffe,CO,USA,Cigar,1.5 minutes,While sitting in our hot tub on outdoors deck we noticed a definitively cigar shaped craft moving across the sky.,12/22/22,
12/17/22 04:35,Millen,GA,USA,Triangle,1 minute,Witnessed a triangular object pulsating with red lights in an irregular way.,12/22/22,
12/17/22 02:29,Flushing,NY,USA,Unknown,3 hours,I live near La'guardia Airport and I notice lights flashing and just hovering suspending in the sky not moving.,12/22/22,
12/16/22 23:00,Overland Park,KS,USA,Circle,10 seconds,3 fast circular lights,12/22/22,
12/16/22 21:20,Cape Coral,FL,USA,Light,1-3 min,Lights in triangle forms flashing & taking off,12/22/22,
12/16/22 17:53,Belhaven,NC,USA,Cone,,Lighting in sky with orb of light around it and then disappeared after ~3-4 minutes (SpaceX),12/22/22,Yes
12/16/22 17:38,,NC,USA,Cylinder,5 mins,The craft hovered over i95,12/22/22,
12/16/22 16:00,Franklin,NC,USA,Circle,5 minutes,Stationary craft with no contrails with other aircraft with contrails in distance,12/22/22,
12/16/22 08:00,San Bernardino,CA,USA,Sphere,30-40 seconds,"I saw a Sphere like object, silver in color floating in the sky before it just disappeared",12/22/22,
12/16/22 03:47,Santa Barbara,CA,USA,Unknown,Appx 10-15 seconds,"Orange glow across sky, then bright orange/fire colored object rising upwards and disappearing into night sky",12/22/22,
12/16/22 03:00,Bathurst,New South Wales,Australia,Light,Around an hour,"UFOs disguised as stars, dart past window.",12/22/22,
12/15/22 17:00,Conway,NH,USA,Disk,1 minute,"While driving I witnessed a large, saucer shaped craft with a domed top (like a stereotypical flying saucer)",12/22/22,
